id,item,type,cond,region1_rrt,region2_rrt,region3_rrt,region4_rrt
40,8,Object-Subject-Inversion,orsi,259.0,763.0,1322.0,572.0
40,19,Object-Topicalized,tor,355.0,794.0,1199.0,390.0
40,2,Object-Subject-Inversion,orsi,250.0,1164.0,370.0,461.0
40,18,Subject,sr,504.0,1200.0,576.0,1298.0
40,9,Subject,sr,294.0,679.0,588.0,490.0
40,11,Object-Subject-Inversion,orsi,769.0,618.0,321.0,366.0
41,11,Object-Subject-Inversion,orsi,355.0,606.0,816.0,669.0
41,2,Object-Subject-Inversion,orsi,327.0,659.0,330.0,504.0
41,14,Object-Subject-Inversion,orsi,286.0,563.0,253.0,531.0
41,4,Object-Topicalized,tor,322.0,778.0,350.0,506.0
41,18,Subject,sr,409.0,629.0,325.0,2215.0
41,13,Object-Topicalized,tor,242.0,751.0,284.0,263.0
41,17,Object-Subject-Inversion,orsi,286.0,581.0,323.0,810.0
41,1,Object-Topicalized,tor,251.0,719.0,328.0,507.0
41,6,Subject,sr,284.0,544.0,284.0,310.0
41,9,Subject,sr,283.0,686.0,247.0,600.0
41,5,Object-Subject-Inversion,orsi,287.0,566.0,308.0,776.0
41,20,Object-Subject-Inversion,orsi,289.0,606.0,353.0,469.0
41,12,Subject,sr,330.0,679.0,1579.0,598.0
41,3,Subject,sr,317.0,684.0,324.0,425.0
41,7,Object-Topicalized,tor,284.0,576.0,294.0,325.0
41,19,Object-Topicalized,tor,361.0,624.0,284.0,289.0
41,8,Object-Subject-Inversion,orsi,250.0,574.0,314.0,543.0
41,10,Object-Topicalized,tor,262.0,554.0,317.0,249.0
41,16,Object-Topicalized,tor,286.0,581.0,300.0,354.0
41,15,Subject,sr,284.0,640.0,319.0,294.0
42,15,Subject,sr,409.0,779.0,471.0,421.0
42,7,Object-Topicalized,tor,454.0,810.0,338.0,451.0
42,2,Object-Subject-Inversion,orsi,414.0,1208.0,811.0,512.0
42,12,Subject,sr,425.0,898.0,770.0,568.0
42,20,Object-Subject-Inversion,orsi,384.0,798.0,325.0,469.0
42,9,Subject,sr,384.0,748.0,415.0,514.0
42,10,Object-Topicalized,tor,481.0,1034.0,640.0,484.0
42,13,Object-Topicalized,tor,458.0,880.0,384.0,1220.0
42,14,Object-Subject-Inversion,orsi,442.0,1062.0,450.0,551.0
42,1,Object-Topicalized,tor,415.0,769.0,423.0,540.0
42,6,Subject,sr,443.0,973.0,824.0,2180.0
42,18,Subject,sr,538.0,969.0,495.0,649.0
42,4,Object-Topicalized,tor,451.0,1308.0,687.0,1197.0
42,19,Object-Topicalized,tor,461.0,1232.0,497.0,663.0
42,3,Subject,sr,555.0,1516.0,548.0,754.0
42,5,Object-Subject-Inversion,orsi,379.0,739.0,465.0,352.0
42,8,Object-Subject-Inversion,orsi,450.0,1226.0,465.0,1000.0
42,16,Object-Topicalized,tor,509.0,1051.0,635.0,729.0
42,17,Object-Subject-Inversion,orsi,430.0,1169.0,605.0,504.0
42,11,Object-Subject-Inversion,orsi,598.0,987.0,457.0,448.0
43,7,Object-Topicalized,tor,485.0,1045.0,745.0,530.0
43,5,Object-Subject-Inversion,orsi,625.0,1346.0,554.0,707.0
43,6,Subject,sr,490.0,1225.0,408.0,922.0
