item,condition,position,word,rt,surprisal,length,log_freq,length_lag1,log_freq_lag1,surprisal_lag1,length_lag2,log_freq_lag2,surprisal_lag2
14,orsi,9,durante,436.54761904761904,5.331495,7,-7.368204695423061,7.0,-12.501786889679218,11.117543,9.0,-12.157282481360742,11.858205
14,orsi,10,la,479.23809523809524,2.301953,2,-3.315937537711332,7.0,-7.368204695423061,5.331495,7.0,-12.501786889679218,11.117543
14,orsi,11,dictadura.,787.0952380952381,0.619902,10,-10.085009429159518,2.0,-3.315937537711332,2.301953,7.0,-7.368204695423061,5.331495
14,sr,1,El,376.3703703703704,8.230893,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
14,sr,2,fiscal,489.462962962963,11.426203,6,-9.533304258572603,2.0,-3.568433301038069,8.230893,0.0,0.0,0.0
14,sr,3,que,416.74074074074076,5.986856,3,-3.40822199659912,6.0,-9.533304258572603,11.426203,2.0,-3.568433301038069,8.230893
14,sr,4,investiga,441.64814814814815,1.710794,9,-11.766528223769146,3.0,-3.40822199659912,5.986856,6.0,-9.533304258572603,11.426203
14,sr,5,al,496.1296296296296,1.981201,2,-5.2030071867437115,9.0,-11.766528223769146,1.710794,3.0,-3.40822199659912,5.986856
14,sr,6,reportero,955.5185185185185,10.504357,9,-12.157282481360742,2.0,-5.2030071867437115,1.981201,9.0,-11.766528223769146,1.710794
14,sr,7,ejerció,754.1111111111111,11.934324,7,-12.501786889679218,9.0,-12.157282481360742,10.504357,2.0,-5.2030071867437115,1.981201
14,sr,8,durante,461.5,5.521617,7,-7.368204695423061,7.0,-12.501786889679218,11.934324,9.0,-12.157282481360742,10.504357
14,sr,9,la,464.72222222222223,2.264906,2,-3.315937537711332,7.0,-7.368204695423061,5.521617,7.0,-12.501786889679218,11.934324
14,sr,10,dictadura.,716.8703703703703,0.502992,10,-10.085009429159518,2.0,-3.315937537711332,2.264906,7.0,-7.368204695423061,5.521617
14,tor,1,El,396.22222222222223,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
